movie_id,imdb_rating,imdb_votes,tomatometer_rating,tomatometer_count,audience_rating,audience_count
1,7.5,12221,93,46,78,3530
2,7.7,3439,0,0,0,0
3,6.7,1257,0,0,0,0
4,5.7,6890,33,24,21,1813
5,5.8,765,0,0,0,0
6,5.7,2004,0,0,0,0
7,5.6,1019,56,9,38,356
8,7.4,18,0,0,0,0
9,8.1,59214,0,0,0,0
10,7.1,2079,75,8,69,323
11,6.2,1143,0,0,0,0
12,6.7,2982,0,0,0,0
13,7.0,2163,0,0,0,0
14,5.9,5851,50,24,25,1514
15,5.9,188,0,0,0,0
16,6.8,2741,0,0,0,0
17,6.3,772,0,0,0,0
18,6.3,957,0,0,0,0
19,7.4,18314,86,42,77,7014
20,6.2,1663,0,0,0,0
21,6.5,1248,0,0,0,0
22,7.3,3003,90,10,74,617
23,7.3,1944,0,0,0,0
24,7.2,2317,0,0,0,0
25,7.3,8325,0,0,0,0
26,7.2,3540,0,0,0,0
27,5.9,4961,59,29,26,1027
28,7.4,11342,96,25,74,7561
29,6.5,5567,93,14,53,5697
30,8.2,12604,0,0,0,0
31,7.4,3971,0,0,0,0
32,7.2,6778,94,16,78,9776
33,7.1,4090,100,16,74,1295
34,6.4,5899,91,22,53,2240
35,6.9,1266,0,0,0,0
36,6.8,829,0,0,0,0
37,8.1,98409,98,60,93,33678
38,7.0,1795,78,9,69,335
39,6.8,3678,0,0,0,0
40,5.7,700,0,0,0,0
41,7.5,7455,93,14,82,3378
42,6.3,940,0,0,0,0
43,6.6,1127,0,0,0,0
44,7.5,4423,92,24,85,4562
45,5.7,577,0,0,0,0
46,8.0,27959,97,39,93,12999
47,6.4,1277,0,0,0,0
48,6.8,86,0,0,0,0
49,7.7,21805,93,41,83,8061
50,6.9,4020,94,17,71,2419
51,6.8,1662,0,0,0,0
52,7.7,13708,100,27,89,8194
53,7.4,4069,0,0,0,0
54,7.4,6169,94,16,77,1081
55,7.1,2813,0,0,0,0
56,6.9,3339,91,11,62,1229
57,7.7,3468,0,0,0,0
58,6.7,1307,0,0,0,0
59,7.6,3874,0,0,0,0
60,7.8,18339,100,42,91,9847
61,6.7,7665,62,34,50,2778
62,6.4,1706,0,0,0,0
63,7.8,8668,90,20,86,1466
64,7.9,7509,86,14,88,2696
65,7.9,20594,90,21,86,9236
66,6.5,1910,78,9,50,6
67,7.2,5254,100,11,70,1337
68,7.3,2601,0,0,0,0
69,7.8,5508,92,13,84,2145
70,6.7,1344,86,7,50,474
71,7.2,7771,82,33,73,2348
72,7.7,18721,93,29,87,7597
73,8.0,9243,94,18,89,3811
74,7.3,7083,91,11,76,2021
75,7.5,4753,95,19,76,1100
76,6.8,2233,0,0,0,0
77,7.7,12513,93,14,83,5550
78,6.8,1029,0,0,0,0
79,7.8,8040,96,23,87,4809
80,7.3,9301,100,20,78,2686
81,7.9,24466,0,0,0,0
82,7.9,49004,100,48,89,33946
83,6.9,2042,80,5,46,1421
84,7.3,5449,90,20,81,4219
85,7.1,2047,89,9,72,411
86,6.9,1881,0,0,0,0
87,8.1,35191,0,0,0,0
88,7.5,12874,0,0,0,0
89,7.8,8321,0,0,0,0
90,6.9,2323,0,0,0,0
91,8.1,300592,0,0,0,0
92,7.5,10648,88,24,81,5226
93,7.9,10164,82,17,87,5661
94,7.3,4857,86,7,71,1666
95,8.1,110984,96,45,94,45845
96,7.9,19988,97,35,89,6822
97,7.9,5813,100,14,85,7138
98,7.9,45997,100,45,86,14614
99,8.0,378893,98,120,89,876327
100,7.6,17314,96,23,85,8786
101,8.1,130546,0,0,0,0
102,7.5,4728,83,6,85,1048
103,7.5,19657,95,39,81,6906
104,8.1,89303,100,48,88,24311
105,8.4,212446,93,43,95,43702
106,6.9,3495,80,10,72,937
107,7.6,12503,100,13,82,3725
108,7.0,4139,0,0,0,0
109,6.6,2525,86,7,46,1291
110,7.9,66044,100,62,93,47191
111,7.7,22753,89,47,81,7950
112,6.9,1919,33,9,72,379
113,8.3,420959,100,93,90,159199
114,7.6,6154,100,20,83,1120
115,7.4,2247,0,0,0,0
116,8.0,11254,100,15,88,3522
117,8.0,152988,100,56,91,57852
118,6.8,1213,0,0,0,0
119,7.7,17415,86,22,87,5674
120,7.4,36081,97,33,78,14737
121,7.6,16879,93,30,85,6063
122,7.3,6333,0,0,0,0
123,7.5,4285,100,16,76,1081
124,7.7,23662,89,44,85,6468
125,7.1,565,0,0,0,0
126,7.7,10459,93,29,89,6839
127,8.0,7331,90,10,88,2805
128,7.5,7884,94,17,84,3083
129,6.8,1924,0,0,0,0
130,7.7,14872,90,29,83,8136
131,8.5,541023,99,92,95,357518
132,6.9,8880,71,14,69,40
133,7.4,10272,85,13,75,4380
134,7.0,2044,80,5,68,360
135,7.2,5442,89,18,76,861
136,7.2,2779,86,7,67,495
137,7.7,6264,94,18,82,1310
138,8.0,22189,0,0,0,0
139,7.6,6554,87,15,80,3262
140,7.3,4246,80,5,63,600
141,7.1,11187,81,31,75,5784
142,8.3,149399,97,64,95,35764
143,7.8,26296,87,31,90,8527
144,7.5,4428,0,0,0,0
145,6.4,1525,0,0,0,0
146,7.9,35261,97,39,90,8866
147,7.1,8298,62,13,79,8284
148,7.3,7546,0,0,0,0
149,8.0,24288,86,44,90,8234
150,7.5,46578,0,0,0,0
151,8.1,60810,97,60,93,10819
152,7.1,6145,0,0,0,0
153,8.6,420975,94,82,95,218883
154,7.4,5770,71,7,72,1905
155,7.2,5658,100,14,76,3770
156,7.2,15593,76,45,78,5627
157,7.6,15790,0,0,0,0
158,7.3,8030,82,17,74,1885
159,7.8,23120,0,0,0,0
160,7.9,44012,96,47,87,47572
161,7.6,16167,95,40,80,7542
162,7.8,4549,89,9,88,1429
163,8.1,32804,97,59,92,11766
164,7.6,7232,100,8,83,2656
165,8.2,119133,100,49,93,26122
166,7.5,14270,95,42,78,4866
167,7.5,6970,75,8,82,2737
168,8.2,14871,0,0,0,0
169,7.7,9000,94,18,86,3781
170,7.7,13989,96,25,87,6019
171,8.2,125426,99,77,94,45248
172,7.6,10597,97,34,86,4780
173,7.2,10742,90,31,74,13901
174,6.8,5929,92,12,59,3242
175,8.4,210129,99,69,95,53464
176,7.2,31953,96,68,79,26460
177,7.2,2596,100,6,71,341
178,7.8,21429,77,31,84,8530
179,7.2,14371,0,0,0,0
180,8.0,103781,98,60,90,55148
181,6.6,13797,42,31,54,6192
182,8.0,100501,97,58,89,25442
183,6.8,8627,81,16,64,5038
184,7.1,5284,78,9,90,68249
185,7.8,36499,91,45,91,30417
186,7.6,45045,92,61,84,14883
187,7.3,11012,95,22,81,5248
188,6.8,9876,33,18,69,6018
189,8.0,132970,97,59,93,63470
190,7.6,38752,97,36,81,15548
191,8.1,147893,99,72,95,52205
192,7.7,26649,92,25,87,7557
193,7.3,5766,86,7,77,3106
194,7.4,23448,88,26,87,54305
