movie_id,movie_name,release_year,original_release_date,movie_length,rating,movie_producer,movie_director,movie_actor,imdb_rating,imdb_votes,tomatometer_rating,tomatometer_count,audience_rating,audience_count,us_gross_income,worldwide_gross_income,production_budget,oscar_year,award,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,movie_producer_main,movie_director_main,movie_actor_1,movie_actor_2,award_Nominee,award_Winner,imdb_rating_scaled,tomatometer_rating_scaled,audience_rating_scaled,avg_rating
1,Wings,1927,8/12/27,144,PG-13,Famous Players-Lasky,William Wellman,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Gary Cooper, Jobyna Ralston, Charles Rogers, Arlette Marchal, El Brendel, ""Gunboat"" Smith, Richard Tucker, Julia Swayne Gordon, Henry B. Walthall, George Irving, Hedda Hopper, Roscoe Karns, Charles Barton, Nigel De Brulier, James Pierce, Gloria Wellman, Margery Chapin Wellman, Carl von Hartmann, William Wellman, Frank Tomick, Dick Grace, Rod Rogers, Thomas Carrigan, Dorothy Coonan Wellman",7.5,12221,93,46,78,3530,0.0,0.0,2000000.0,1927,Winner,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,Famous Players-Lasky,William Wellman,Clara Bow, Charles 'Buddy' Rogers,0,1,7.5,9.3,7.8,8.700000000000001
2,7th Heaven,1927,,110,None,Fox, , ,7.7,3439,0,0,0,0,,,,1927,Nominee,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fox, , ,,1,0,7.7,0.0,0.0,7.7
3,The Racket,1928,,84,None,The Caddo Company, , ,6.7,1257,0,0,0,0,,,,1927,Nominee,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,The Caddo Company, , ,,1,0,6.7,0.0,0.0,6.7
4,The Broadway Melody,1929,2/1/29,100,NR,Metro-Goldwyn-Mayer,Harry Beaumont,"Anita Page, Bessie Love, Charles King, Jed Prouty, Ken Thomson, Edward Dillon, Mary Doran, J. Emmett Beck, Marshall Ruth, J.E. Beck, Drew Demarest, Eddie Kane, Nacio Herb Brown, Ray Cooke, James Gleason, Charles King Bibby, Angella Mawby, Claudine Mawby, Claudette Mawby",5.7,6890,33,24,21,1813,2800000.0,4358000.0,379000.0,1928,Winner,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,Metro-Goldwyn-Mayer,Harry Beaumont,Anita Page, Bessie Love,0,1,5.7,3.3,2.1,4.1000000000000005
5,Alibi,1929,,91,None,Feature Productions, , ,5.8,765,0,0,0,0,,,,1928,Nominee,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Feature Productions, , ,,1,0,5.8,0.0,0.0,5.8
6,Hollywood Revue,1929,,130,None,Metro-Goldwyn-Mayer, , ,5.7,2004,0,0,0,0,,,,1928,Nominee,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Metro-Goldwyn-Mayer, , ,,1,0,5.7,0.0,0.0,5.7
7,In Old Arizona,1928,12/25/28,95,NR,Fox,"Irving Cummings, Raoul Walsh","Warner Baxter, Edmund Lowe, Dorothy Burgess, J. Farrell MacDonald, Fred Warren, Henry Armetta, Frank Campeau, Tom Santschi, Pat Hartigan, Roy Stewart, Soledad Jiminez, Frank Nelson, Duke Martin, James Marcus, Alphonse Ethier, Helen Lynch, Ivan Linow, Joe E. Brown, Lola Salvi, Edward Peil Sr., John Webb Dillon, James Bradbury Jr, Chris-Pin Martin",5.6,1019,56,9,38,356,,,,1928,Nominee,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fox,Irving Cummings,Warner Baxter, Edmund Lowe,1,0,5.6,5.6,3.8,5.599999999999999
8,The Patriot,1928,,113,None,Paramount Famous Lasky, , ,7.4,18,0,0,0,0,113330342.0,215300000.0,110000000.0,1928,Nominee,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Paramount Famous Lasky, , ,,1,0,7.4,0.0,0.0,7.4
9,All Quiet on the Western Front,1930,,152,None,Universal, , ,8.1,59214,0,0,0,0,,,,1929,Winner,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Universal, , ,,0,1,8.1,0.0,0.0,8.1
10,The Big House,1930,5/14/30,87,NR,Cosmopolitan,George W. Hill,"Wallace Beery, Robert Montgomery, Chester Morris, Karl Dane, Lewis Stone, Leila Hyams, George F. Marion, J.C. Nugent, DeWitt Jennings, Matthew Betz, Claire McDowell, Robert E. O'Connor, Robert Emmett O'Connor, Tom Wilson, Eddie Foyer, Roscoe Ates, Fletcher Norton, Adolph Seidel, Tom Kennedy, Eddie Lambert, Michael Vavitch",7.1,2079,75,8,69,323,,,,1929,Nominee,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Cosmopolitan,George W. Hill,Wallace Beery, Robert Montgomery,1,0,7.1,7.5,6.9,7.366666666666667
