movie_id,movie_name,release_year,original_release_date,movie_length,genre,rating,movie_producer,movie_director,movie_actor
1,Wings,1927,8/12/27,144,"Drama,Romance,War",PG-13,Famous Players-Lasky,William Wellman,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Gary Cooper, Jobyna Ralston, Charles Rogers, Arlette Marchal, El Brendel, ""Gunboat"" Smith, Richard Tucker, Julia Swayne Gordon, Henry B. Walthall, George Irving, Hedda Hopper, Roscoe Karns, Charles Barton, Nigel De Brulier, James Pierce, Gloria Wellman, Margery Chapin Wellman, Carl von Hartmann, William Wellman, Frank Tomick, Dick Grace, Rod Rogers, Thomas Carrigan, Dorothy Coonan Wellman"
2,7th Heaven,1927,,110,"Drama,Romance",None,Fox, , 
3,The Racket,1928,,84,"Crime,Drama,Film-Noir",None,The Caddo Company, , 
4,The Broadway Melody,1929,2/1/29,100,"Drama,Musical,Romance",NR,Metro-Goldwyn-Mayer,Harry Beaumont,"Anita Page, Bessie Love, Charles King, Jed Prouty, Ken Thomson, Edward Dillon, Mary Doran, J. Emmett Beck, Marshall Ruth, J.E. Beck, Drew Demarest, Eddie Kane, Nacio Herb Brown, Ray Cooke, James Gleason, Charles King Bibby, Angella Mawby, Claudine Mawby, Claudette Mawby"
5,Alibi,1929,,91,"Action,Crime,Romance",None,Feature Productions, , 
6,Hollywood Revue,1929,,130,"Comedy,Music",None,Metro-Goldwyn-Mayer, , 
7,In Old Arizona,1928,12/25/28,95,Western,NR,Fox,"Irving Cummings, Raoul Walsh","Warner Baxter, Edmund Lowe, Dorothy Burgess, J. Farrell MacDonald, Fred Warren, Henry Armetta, Frank Campeau, Tom Santschi, Pat Hartigan, Roy Stewart, Soledad Jiminez, Frank Nelson, Duke Martin, James Marcus, Alphonse Ethier, Helen Lynch, Ivan Linow, Joe E. Brown, Lola Salvi, Edward Peil Sr., John Webb Dillon, James Bradbury Jr, Chris-Pin Martin"
8,The Patriot,1928,,113,"Drama,History,Thriller",None,Paramount Famous Lasky, , 
9,All Quiet on the Western Front,1930,,152,"Drama,War",None,Universal, , 
10,The Big House,1930,5/14/30,87,"Crime,Drama,Thriller",NR,Cosmopolitan,George W. Hill,"Wallace Beery, Robert Montgomery, Chester Morris, Karl Dane, Lewis Stone, Leila Hyams, George F. Marion, J.C. Nugent, DeWitt Jennings, Matthew Betz, Claire McDowell, Robert E. O'Connor, Robert Emmett O'Connor, Tom Wilson, Eddie Foyer, Roscoe Ates, Fletcher Norton, Adolph Seidel, Tom Kennedy, Eddie Lambert, Michael Vavitch"
11,Disraeli,1929,,90,"Biography,Drama,History",None,Warner Bros., , 
12,The Divorcee,1930,,84,"Romance,Drama",None,Metro-Goldwyn-Mayer, , 
13,The Love Parade,1929,,107,"Comedy,Musical,Romance",None,Paramount Famous Lasky, , 
14,Cimarron,1931,1/26/31,123,"Drama,Western",NR,RKO Radio,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier, William Collier Jr., Roscoe Ates, George E. Stone, Robert McWade, Frank Darien, Edna May Oliver, Eugene Jackson, Dolores Brown, Gloria Vonic, Otto Hoffman, William Orlamond, Frank Beal, Nancy Dover, Helen Parrish, Donald Dillaway, Junior Johnson, Douglas Scott, Reggie Streeter, Lois Jane Campbell, Ann Lee, Tyrone Brereton, Lillian Lane, Henry Roquemore, Nell Craig, Bob McKenzie, Bob Kortman, Clara Hunt, William Janney, Dennis O'Keefe, Stanley Fields, Frederick Burt, William P. Burt, Frank O'Connor"
15,East Lynne,1931,,102,"Drama,Romance",None,Fox, , 
16,The Front Page,1931,,101,"Comedy,Crime,Drama",None,The Caddo Company, , 
17,Skippy,1931,,85,"Comedy,Drama,Family",None,Paramount Publix, , 
18,Trader Horn,1931,,122,"Action,Adventure,Drama",None,Metro-Goldwyn-Mayer, , 
